"Id","ChannelId","ChannelValue","TimeStamp"
"1409027","1","0","2009-10-28 21:23:11"
"1441795","1","0","2009-10-28 22:00:11"
"1441858","1","1002","2009-10-28 23:00:57"
"1441920","1","1883","2009-10-29 00:01:42"
"1441983","1","2399","2009-10-29 01:02:26"
"1442045","1","3555","2009-10-29 02:03:15"
"1442108","1","4801","2009-10-29 03:04:03"
"1442170","1","5349","2009-10-29 04:04:51"
"1442233","1","6808","2009-10-29 05:05:39"
"1442295","1","7720","2009-10-29 06:06:27"
"1442358","1","9240","2009-10-29 07:07:15"
"1442420","1","10395","2009-10-29 08:08:03"
"1442483","1","11368","2009-10-29 09:08:52"
"1442545","1","12766","2009-10-29 10:09:40"
"1442608","1","13435","2009-10-29 11:10:28"
"1442670","1","14408","2009-10-29 12:11:16"
"1442733","1","15320","2009-10-29 13:12:04"
"1442795","1","16232","2009-10-29 14:12:52"
"1442858","1","16840","2009-10-29 15:13:40"
"1442920","1","17935","2009-10-29 16:14:28"
"1442983","1","18999","2009-10-29 17:15:17"
"1443045","1","20185","2009-10-29 18:16:05"
"1443108","1","21218","2009-10-29 19:16:53"
"1443170","1","22859","2009-10-29 20:17:41"
"1443233","1","23923","2009-10-29 21:18:30"
"1443295","1","25231","2009-10-29 22:19:30"
"1443358","1","28090","2009-10-29 23:20:29"
"1443420","1","29762","2009-10-30 00:21:18"
"1443483","1","32406","2009-10-30 01:22:07"
"1443545","1","34109","2009-10-30 02:22:55"
"1443608","1","35357","2009-10-30 03:23:43"
"1443670","1","36543","2009-10-30 04:24:31"
"1443733","1","38154","2009-10-30 05:25:19"
"1443795","1","39582","2009-10-30 06:26:06"
"1443858","1","40829","2009-10-30 07:26:54"
"1443920","1","42622","2009-10-30 08:27:42"
"1443983","1","43656","2009-10-30 09:28:30"
"1444045","1","44264","2009-10-30 10:29:19"
"1444108","1","45206","2009-10-30 11:30:07"
"1444170","1","46148","2009-10-30 12:30:55"
"1444233","1","46148","2009-10-30 13:31:44"
"1444295","1","47090","2009-10-30 14:32:31"
"1444358","1","48032","2009-10-30 15:33:20"
"1444420","1","49005","2009-10-30 16:34:08"
"1444483","1","50008","2009-10-30 17:34:56"
"1444545","1","51072","2009-10-30 18:35:44"
"1444608","1","52380","2009-10-30 19:36:33"
"1444670","1","53505","2009-10-30 20:37:21"
"1444733","1","54721","2009-10-30 21:38:09"
"1444795","1","56394","2009-10-30 22:38:58"
"1444858","1","57974","2009-10-30 23:39:55"
"1444920","1","59736","2009-10-31 00:40:43"
"1444983","1","60678","2009-10-31 01:41:31"
"1445045","1","62106","2009-10-31 02:42:19"
"1445108","1","63444","2009-10-31 03:43:07"
"1445170","1","64811","2009-10-31 04:43:55"
"1445233","1","65875","2009-10-31 05:44:44"
"1445295","1","67670","2009-10-31 06:45:32"
"1445358","1","68643","2009-10-31 07:46:22"
"1445420","1","70437","2009-10-31 08:47:10"
"1445483","1","71440","2009-10-31 09:47:58"
"1445545","1","72383","2009-10-31 10:48:46"
"1445608","1","72930","2009-10-31 11:49:35"
"1445670","1","74450","2009-10-31 12:50:23"
"1445733","1","75818","2009-10-31 13:51:11"
"1445795","1","76335","2009-10-31 14:51:59"
"1445858","1","77186","2009-10-31 15:52:47"
"1445920","1","77946","2009-10-31 16:53:35"
"1445983","1","79285","2009-10-31 17:54:24"
"1446045","1","80379","2009-10-31 18:55:12"
"1446108","1","81443","2009-10-31 19:56:00"
"1446170","1","82872","2009-10-31 20:56:48"
"1446233","1","83815","2009-10-31 21:57:36"
"1446295","1","84398","2009-10-31 22:58:32"
"1446358","1","85705","2009-10-31 23:59:20"
"1446420","1","86982","2009-11-01 01:00:08"
"1446483","1","87590","2009-11-01 02:00:57"
"1446545","1","88989","2009-11-01 03:01:45"
"1446608","1","90144","2009-11-01 04:02:33"
"1446670","1","90783","2009-11-01 05:03:21"
"1446733","1","92485","2009-11-01 06:04:09"
"1446795","1","93580","2009-11-01 07:04:57"
"1446858","1","94279","2009-11-01 08:05:45"
"1446920","1","95768","2009-11-01 09:06:33"
"1446983","1","96984","2009-11-01 10:07:23"
"1447045","1","98048","2009-11-01 11:08:12"
"1447108","1","99476","2009-11-01 12:09:00"
"1447170","1","100966","2009-11-01 13:09:48"
